Rank,RO,ST,Locid,City,Airport Name,S/L,Hub,CY 18 Enplanements,CY 17 Enplanements,% Change
55,SO,FL,JAX,Jacksonville,Jacksonville International,P,M,3135508.00,2701861.00,16.05%
56,WP,CA,BUR,Burbank,Bob Hope,P,M,2680240.00,2402106.00,11.58%
57,SW,NM,ABQ,Albuquerque,Albuquerque International Sunport,P,M,2647269.00,2412328.00,9.74%
58,AL,AK,ANC,Anchorage,Ted Stevens Anchorage International,P,M,2642607.00,2556191.00,3.38%
59,EA,NY,BUF,Buffalo,Buffalo Niagara International,P,M,2523158.00,2348512.00,7.44%
60,WP,CA,ONT,Ontario,Ontario International,P,M,2498993.00,2247645.00,11.18%
61,CE,NE,OMA,Omaha,Eppley Airfield,P,M,2454878.00,2243658.00,9.41%
,,,31,,Meduim Hubs,,,,,
62,SO,TN,MEM,Memphis,Memphis International,P,S,2213083.00,2102739.00,5.25%
63,SO,SC,CHS,Charleston,Charleston AFB/International,P,S,2192893.00,1945699.00,12.70%
64,NE,RI,PVD,Warwick,Theodore Francis Green State,P,S,2117409.00,1940806.00,9.10%
65,SW,OK,OKC,Oklahoma City,Will Rogers World,P,S,2094708.00,1894289.00,10.58%
66,WP,NV,RNO,Reno,Reno/Tahoe International,P,S,2048916.00,1953028.00,4.91%
67,EA,VA,RIC,Highland Springs,Richmond International,P,S,2048691.00,1822486.00,12.41%
68,NM,ID,BOI,Boise,Boise Air Terminal/Gowen Field,P,S,1943181.00,1777642.00,9.31%
69,WP,CA,LGB,Long Beach,Long Beach /Daugherty Field/,P,S,1908635.00,1830745.00,4.25%
70,SO,KY,SDF,Louisville,Louisville Muhammad Ali International,P,S,1877861.00,1684738.00,11.46%
71,NM,WA,GEG,Spokane,Spokane International,P,S,1872781.00,1698433.00,10.27%
72,EA,VA,ORF,Norfolk,Norfolk International,P,S,1846031.00,1694329.00,8.95%
73,WP,HI,KOA,Kailua Kona,Ellison Onizuka Kona International at Keahole,P,S,1829020.00,1764995.00,3.63%
74,WP,AZ,TUS,Tucson,Tucson International,P,S,1753227.00,1669928.00,4.99%
75,WP,GU,GUM,Tamuning,Guam International,P,S,1736131.00,1566429.00,10.83%
76,WP,HI,LIH,Lihue,Lihue,P,S,1644590.00,1535075.00,7.13%
77,GL,MI,GRR,Grand Rapids,Gerald R Ford International,P,S,1631398.00,1412132.00,15.53%
78,SW,TX,ELP,El Paso,El Paso International,P,S,1605486.00,1450115.00,10.71%
79,SO,FL,SFB,Sanford,Orlando Sanford International,P,S,1504888.00,1434990.00,4.87%
80,SW,OK,TUL,Tulsa,Tulsa International,P,S,1482908.00,1374424.00,7.89%
81,SO,AL,BHM,Birmingham,Birmingham-Shuttlesworth International,P,S,1457562.00,1333967.00,9.27%
82,EA,NY,ALB,Albany,Albany International,P,S,1440674.00,1393666.00,3.37%
83,SO,GA,SAV,Savannah,Savannah/Hilton Head International,P,S,1356660.00,1192340.00,13.78%
84,CE,IA,DSM,Des Moines,Des Moines International,P,S,1347876.00,1257521.00,7.19%
85,EA,NY,ROC,Rochester,Greater Rochester International,P,S,1281908.00,1205774.00,6.31%
86,SO,SC,MYR,Myrtle Beach,Myrtle Beach International,P,S,1254307.00,1131959.00,10.81%
87,WP,CA,PSP,Palm Springs,Palm Springs International,P,S,1163883.00,1055970.00,10.22%
88,EA,NY,SYR,Syracuse,Syracuse Hancock International,P,S,1139568.00,1013149.00,12.48%
89,SO,SC,GSP,Greer,Greenville Spartanburg International,P,S,1133012.00,1051089.00,7.79%
90,SO,FL,PIE,Clearwater,St Pete-Clearwater International,P,S,1115886.00,1023471.00,9.03%
91,SO,TN,TYS,Alcoa,McGhee Tyson,P,S,1069565.00,963752.00,10.98%
92,NE,ME,PWM,Portland,Portland International Jetport,P,S,1062873.00,925903.00,14.79%
93,GL,WI,MSN,Madison,Dane County Regional-Truax Field,P,S,1043185.00,943363.00,10.58%
94,SW,AR,LIT,Little Rock,Bill and Hillary Clinton National/Adams Field,P,S,1031258.00,979530.00,5.28%
95,SO,FL,PNS,Pensacola,Pensacola International,P,S,972081.00,839248.00,15.83%
96,SO,NC,GSO,Greensboro,Piedmont Triad International,P,S,938593.00,881024.00,6.53%
97,NE,NH,MHT,Manchester,Manchester,P,S,911225.00,969229.00,-5.98%
98,GL,OH,DAY,Dayton,James M Cox Dayton International,P,S,858022.00,935373.00,-8.27%
99,WP,CA,FAT,Fresno,Fresno Yosemite International,P,S,853538.00,755140.00,13.03%
100,NM,CO,COS,Colorado Springs,City of Colorado Springs Municipal,P,S,845742.00,815839.00,3.67%
101,CE,KS,ICT,Wichita,Wichita Dwight D Eisenhower National,P,S,812252.00,789533.00,2.88%
102,EA,NY,ISP,Islip,Long Island MacArthur,P,S,811535.00,648593.00,25.12%
103,EA,NY,HPN,White Plains,Westchester County,P,S,789283.00,759334.00,3.94%
104,SO,FL,PGD,Punta Gorda,Punta Gorda,P,S,787022.00,643563.00,22.29%
105,WP,AZ,IWA,Mesa,Phoenix-Mesa Gateway,P,S,778972.00,704247.00,10.61%
106,SW,AR,XNA,Bentonville,Northwest Arkansas Regional,P,S,759127.00,698257.00,8.72%
107,SO,FL,SRQ,Sarasota,Sarasota/Bradenton International,P,S,685001.00,590941.00,15.92%
108,SO,FL,VPS,Valparaiso,Eglin AFB/Destin-Ft Walton Beach,P,S,683759.00,567633.00,20.46%
109,NM,MT,BZN,Bozeman,Bozeman Yellowstone International,P,S,670295.00,598712.00,11.96%
110,NE,VT,BTV,Burlington,Burlington International,P,S,658879.00,578014.00,13.99%
111,SO,KY,LEX,Lexington,Blue Grass,P,S,657018.00,637301.00,3.09%
112,EA,PA,MDT,Harrisburg,Harrisburg International,P,S,636756.00,582291.00,9.35%
113,SW,TX,MAF,Midland,Midland International Air And Space Port,P,S,618794.00,516983.00,19.69%
114,CE,IA,CID,Cedar Rapids,The Eastern Iowa,P,S,602058.00,574636.00,4.77%
115,WP,HI,ITO,Hilo,Hilo International,P,S,599148.00,664790.00,-9.87%
116,WP,MP,GSN,Saipan,Francisco C Ada/Saipan International,P,S,595181.00,685642.00,-13.19%
117,SO,AL,HSV,Huntsville,Huntsville International-Carl T Jones Field,P,S,580932.00,519003.00,11.93%
118,SO,NC,AVL,Asheville,Asheville Regional,P,S,573206.00,478061.00,19.90%
119,EA,NJ,ACY,Atlantic City,Atlantic City International,P,S,568958.00,552690.00,2.94%
120,NM,OR,EUG,Eugene,Mahlon Sweet Field,P,S,566832.00,529149.00,7.12%
121,SO,SC,CAE,Columbia,Columbia Metropolitan,P,S,566660.00,510188.00,11.07%
122,AL,AK,FAI,Fairbanks,Fairbanks International,P,S,549289.00,543839.00,1.00%
123,GL,SD,FSD,Sioux Falls,Joe Foss Field,P,S,529895.00,540877.00,-2.03%
124,CE,MO,SGF,Springfield,Springfield-Branson National,P,S,523108.00,483259.00,8.25%
125,SO,FL,ECP,Panama City,Northwest Florida Beaches International,P,S,512423.00,454712.00,12.69%
126,SO,TN,CHA,Chattanooga,Lovell Field,P,S,504833.00,482113.00,4.71%
127,NM,OR,MFR,Medford,Rogue Valley International - Medford,P,S,492217.00,440506.00,11.74%
128,SO,MS,JAN,Jackson,Jackson-Medgar Wiley Evers International,P,S,489454.00,462655.00,5.79%
129,SW,TX,LBB,Lubbock,Lubbock Preston Smith International,P,S,484010.00,460236.00,5.17%
130,SO,NC,ILM,Wilmington,Wilmington International,P,S,468816.00,422553.00,10.95%
,,,69,,Small Hubs,,,,,
131,GL,OH,CAK,Akron,Akron-Canton Regional,P,N,449731.00,619321.00,-27.38%
132,SO,FL,EYW,Key West,Key West International,P,N,446005.00,392381.00,13.67%
133,AL,AK,JNU,Juneau,Juneau International,P,N,440277.00,422266.00,4.27%
134,NM,MT,BIL,Billings,Billings Logan International,P,N,440263.00,415093.00,6.06%
135,NM,OR,RDM,Redmond,Roberts Field,P,N,430562.00,364921.00,17.99%
136,GL,ND,FAR,Fargo,Hector International,P,N,429667.00,404937.00,6.11%
137,NM,MT,MSO,Missoula,Missoula International,P,N,425563.00,387976.00,9.69%
138,SO,VI,STT,Charlotte Amalie,Cyril E King,P,N,417871.00,619729.00,-32.57%
139,EA,NJ,TTN,Trenton,Trenton Mercer,P,N,404349.00,363654.00,11.19%
140,WP,CA,SBA,Santa Barbara,Santa Barbara Municipal,P,N,403745.00,356608.00,13.22%
141,NM,WA,PSC,Pasco,Tri-Cities,P,N,395348.00,376044.00,5.13%
142,SW,LA,BTR,Baton Rouge,"Baton Rouge Metropolitan, Ryan Field",P,N,390107.00,377670.00,3.29%
143,SO,FL,TLH,Tallahassee,Tallahassee International,P,N,384136.00,350174.00,9.70%
144,NM,WY,JAC,Jackson,Jackson Hole,P,N,381539.00,341662.00,11.67%
145,EA,PA,ABE,Allentown,Lehigh Valley International,P,N,376468.00,328914.00,14.46%
146,GL,IN,FWA,Fort Wayne,Fort Wayne International,P,N,372030.00,359658.00,3.44%
147,NM,WA,BLI,Bellingham,Bellingham International,P,N,368186.00,370022.00,-0.50%
148,SO,FL,DAB,Daytona Beach,Daytona Beach International,P,N,366967.00,346470.00,5.92%
149,GL,IN,SBN,South Bend,South Bend International,P,N,366617.00,307471.00,19.24%
150,GL,MI,FNT,Flint,Bishop International,P,N,361709.00,393549.00,-8.09%
151,SO,MS,GPT,Gulfport,Gulfport-Biloxi International,P,N,359055.00,324611.00,10.61%
152,SW,TX,AMA,Amarillo,Rick Husband Amarillo International,P,N,355705.00,334563.00,6.32%
153,GL,IL,MLI,Moline,Quad City International,P,N,355241.00,335940.00,5.75%
154,EA,NY,SWF,Newburgh,New York Stewart International,P,N,354869.00,228640.00,55.21%
155,EA,VA,CHO,Charlottesville-Albemarle Airport,Charlottesville-Albemarle,P,N,352816.00,334347.00,5.52%
156,GL,WI,ATW,Appleton,Appleton International,P,N,348026.00,281552.00,23.61%
157,SW,TX,MFE,McAllen,McAllen Miller International,P,N,347440.00,336431.00,3.27%
158,NE,ME,BGR,Bangor,Bangor International,P,N,336410.00,302224.00,11.31%
159,SW,TX,CRP,Corpus Christi,Corpus Christi International,P,N,332499.00,320263.00,3.82%
160,EA,VA,ROA,Roanoke,Roanoke-Blacksburg Regional/Woodrum Field,P,N,330063.00,309341.00,6.70%
161,GL,IL,PIA,Peoria,General Downing - Peoria International,P,N,328769.00,312378.00,5.25%
162,GL,WI,GRB,Green Bay,Green Bay-Austin Straubel International,P,N,314909.00,283823.00,10.95%
163,NM,MT,GPI,Kalispell,Glacier Park International,P,N,307242.00,272279.00,12.84%
164,GL,SD,RAP,Rapid City,Rapid City Regional,P,N,303471.00,286567.00,5.90%
165,SW,TX,HRL,Harlingen,Valley International,P,N,302236.00,273070.00,10.68%
166,SO,GA,AGS,Augusta,Augusta Regional at Bush Field,P,N,300598.00,288834.00,4.07%
167,SO,AL,MOB,Mobile,Mobile Regional,P,N,297544.00,288222.00,3.23%
168,SO,PR,BQN,Aguadilla,Rafael Hernandez,P,N,294921.00,252693.00,16.71%
169,SW,LA,SHV,Shreveport,Shreveport Regional,P,N,291136.00,267646.00,8.78%
170,WP,AZ,GCN,Grand Canyon,Grand Canyon National Park,P,N,289278.00,336255.00,-13.97%
171,NM,CO,ASE,Aspen,Aspen-Pitkin County/Sardy Field,P,N,285448.00,244808.00,16.60%
172,GL,ND,BIS,Bismarck,Bismarck Municipal,P,N,285198.00,275098.00,3.67%
173,EA,PA,AVP,Avoca,Wilkes-Barre/Scranton International,P,N,258628.00,261572.00,-1.13%
174,GL,MI,TVC,Traverse City,Cherry Capital,P,N,247324.00,235137.00,5.18%
175,WP,CA,SBP,San Luis Obispo,San Luis County Regional,P,N,235570.00,197594.00,19.22%
176,SO,NC,FAY,Fayetteville,Fayetteville Regional/Grannis Field,P,N,234998.00,238568.00,-1.50%
177,SO,FL,MLB,Melbourne,Melbourne International,P,N,234939.00,221928.00,5.86%
178,SO,FL,GNV,Gainesville,Gainesville Regional,P,N,233955.00,218578.00,7.04%
179,GL,IN,EVV,Evansville,Evansville Regional,P,N,228850.00,213205.00,7.34%
180,SW,LA,LFT,Lafayette,Lafayette Regional/Paul Fournet Field,P,N,223529.00,202640.00,10.31%
181,NM,CO,GJT,Grand Junction,Grand Junction Regional,P,N,221978.00,223452.00,-0.66%
182,WP,CA,STS,Santa Rosa,Charles M Schulz - Sonoma County,P,N,217480.00,195296.00,11.36%
183,EA,WV,CRW,Charleston,Yeager,P,N,216873.00,202778.00,6.95%
184,SO,VI,STX,Christiansted,Henry E Rohlsen,P,N,212812.00,195634.00,8.78%
185,WP,NV,BVU,Boulder City,Boulder City Municipal,P,N,205690.00,220980.00,-6.92%
186,SO,TN,TRI,Bristol/Johnson/Kingsport,Tri-Cities,P,N,200086.00,193068.00,3.63%
187,EA,VA,PHF,Newport News,Newport News/Williamsburg International,P,N,195573.00,197994.00,-1.22%
188,NM,CO,DRO,Durango,Durango-La Plata County,P,N,189225.00,186917.00,1.23%
189,WP,CA,MRY,Monterey,Monterey Regional,P,N,186806.00,197099.00,-5.22%
190,GL,MI,LAN,Clinton (Township of),Capital Region International,P,N,184018.00,196617.00,-6.41%
191,GL,MN,RST,Rochester,Rochester International,P,N,182509.00,143675.00,27.03%
192,GL,IL,BMI,Bloomington-Normal Airport,Central IL Regional Airport at Bloomington-Normal,P,N,178057.00,163475.00,8.92%
193,NM,MT,GTF,Great Falls,Great Falls International,P,N,176434.00,171049.00,3.15%
195,NM,CO,EGE,Eagle,Eagle County Regional,P,N,173863.00,154577.00,12.48%
196,SO,AL,MGM,Montgomery,Montgomery Regional (Dannelly Field),P,N,170544.00,152773.00,11.63%
197,NM,ID,IDA,Idaho Falls,Idaho Falls Regional,P,N,161019.00,147729.00,9.00%
198,AL,AK,BET,Bethel,Bethel,P,N,160110.00,146652.00,9.18%
199,GL,OH,LCK,Columbus,Rickenbacker International,P,N,154475.00,133649.00,15.58%
200,SW,TX,GRK,Killeen,Robert Gray AAF,P,N,154328.00,154951.00,-0.40%
201,EA,PA,UNV,State College,University Park,P,N,153571.00,138423.00,10.94%
202,GL,MI,AZO,Kalamazoo,Kalamazoo/Battle Creek International,P,N,152845.00,146314.00,4.46%
203,SO,NC,OAJ,Jacksonville,Albert J Ellis,P,N,152448.00,155342.00,-1.86%
204,GL,IL,BLV,Belleville,Scott AFB/Midamerica,P,N,152278.00,123841.00,22.96%
205,EA,PA,LBE,Latrobe,Arnold Palmer Regional,P,N,151410.00,151207.00,0.13%
206,CE,NE,LNK,Lincoln,Lincoln,P,N,150214.00,154465.00,-2.75%
207,GL,ND,MOT,Minot,Minot International,P,N,149865.00,141161.00,6.17%
208,SO,NC,JQF,Concord,Concord-Padgett Regional,P,N,147065.00,129034.00,13.97%
209,SW,LA,AEX,Alexandria,Alexandria International,P,N,143173.00,156145.00,-8.31%
210,EA,NY,ELM,Elmira,Elmira/Corning Regional,P,N,141075.00,126472.00,11.55%
211,GL,MN,DLH,Duluth,Duluth International,P,N,136806.00,122726.00,11.47%
212,AL,AK,KTN,Ketchikan,Ketchikan International,P,N,135389.00,131144.00,3.24%
213,NM,CO,MTJ,Montrose,Montrose Regional,P,N,133924.00,123206.00,8.70%
214,WP,AZ,IFP,Bullhead City,Laughlin/Bullhead International,P,N,131294.00,129949.00,1.04%
215,GL,MI,MBS,Saginaw,MBS International,P,N,127627.00,110964.00,15.02%
216,NE,MA,ACK,Nantucket,Nantucket Memorial,P,N,126610.00,113009.00,12.04%
217,GL,WI,CWA,Mosinee,Central Wisconsin,P,N,124632.00,116404.00,7.07%
218,GL,OH,TOL,Toledo,Toledo Express,P,N,123541.00,102988.00,19.96%
219,NM,UT,SGU,St. George,St George Regional,P,N,123060.00,103569.00,18.82%
220,CE,MO,COU,Columbia,Columbia Regional,P,N,120235.00,88650.00,35.63%
221,EA,NY,PBG,Plattsburgh,Plattsburgh International,P,N,119783.00,139398.00,-14.07%
222,EA,NY,IAG,Niagara Falls,Niagara Falls International,P,N,119182.00,142605.00,-16.43%
223,SW,NM,SAF,Santa Fe,Santa Fe Municipal,P,N,115787.00,103679.00,11.68%
224,SW,TX,BRO,Brownsville,Brownsville/South Padre Island International,P,N,115711.00,116197.00,-0.42%
225,NM,MT,HLN,Helena,Helena Regional,P,N,115438.00,103773.00,11.24%
226,GL,ND,GFK,Grand Forks,Grand Forks International,P,N,114578.00,117520.00,-2.50%
227,SO,NC,EWN,New Bern,Coastal Carolina Regional,P,N,111172.00,111147.00,0.02%
228,GL,IL,CMI,Savoy,University of Illinois-Willard,P,N,109878.00,100133.00,9.73%
229,SW,LA,MLU,Monroe,Monroe Regional,P,N,107107.00,103547.00,3.44%
230,GL,IL,RFD,Rockford,Chicago/Rockford International,P,N,106710.00,112862.00,-5.45%
231,WP,CA,BFL,Bakersfield,Meadows Field,P,N,105104.00,99472.00,5.66%
232,EA,WV,HTS,Huntington,Tri-State/Milton J Ferguson Field,P,N,101701.00,103724.00,-1.95%
233,NM,CO,HDN,Hayden,Yampa Valley,P,N,100079.00,96403.00,3.81%
234,GL,WI,LSE,La Crosse,La Crosse Regional,P,N,99651.00,92101.00,8.20%
235,EA,NY,ITH,Ithaca,Ithaca Tompkins Regional,P,N,99070.00,97212.00,1.91%
236,WP,CA,SCK,Stockton,Stockton Metropolitan,P,N,98908.00,96201.00,2.81%
237,SW,TX,LRD,Laredo,Laredo International,P,N,95858.00,91462.00,4.81%
238,EA,PA,ERI,Erie,Erie International/Tom Ridge Field,P,N,95342.00,85631.00,11.34%
239,AL,AK,ENA,Kenai,Kenai Municipal,P,N,93889.00,92973.00,0.99%
240,NM,ID,SUN,Hailey,Friedman Memorial,P,N,93280.00,86641.00,7.66%
241,NE,NH,PSM,Portsmouth,Portsmouth International at Pease,P,N,92836.00,105077.00,-11.65%
242,SO,PR,PSE,Ponce,Mercedita,P,N,91966.00,89334.00,2.95%
243,AL,AK,SIT,Sitka,Sitka Rocky Gutierrez,P,N,87119.00,83598.00,4.21%
244,SW,AR,FSM,Fort Smith,Fort Smith Regional,P,N,86973.00,85726.00,1.45%
245,NM,WY,CPR,Casper,Casper/Natrona County International,P,N,86905.00,96843.00,-10.26%
246,EA,VA,LYH,Timberlake,Lynchburg Regional/Preston Glenn Field,P,N,83392.00,82489.00,1.09%
247,AL,AK,ADQ,Kodiak,Kodiak,P,N,81562.00,83577.00,-2.41%
248,NM,UT,PVU,Provo,Provo Municipal,P,N,80106.00,91581.00,-12.53%
249,WP,AZ,NYL,Yuma,Yuma MCAS/Yuma International,P,N,79731.00,79564.00,0.21%
250,WP,HI,MKK,Kaunakakai,Molokai,P,N,79336.00,84139.00,-5.71%
251,SW,TX,CLL,College Station,Easterwood Field,P,N,79309.00,73430.00,8.01%
252,SW,TX,ABI,Abilene,Abilene Regional,P,N,77229.00,85085.00,-9.23%
253,GL,IL,SPI,Springfield,Abraham Lincoln Capital,P,N,76950.00,92048.00,-16.40%
254,GL,ND,XWA,Williston,Williston Basin International,P,N,75332.00,69802.00,7.92%
255,WP,AS,PPG,Pago Pago,Pago Pago International,P,N,74495.00,71401.00,4.33%
256,CE,KS,MHK,Manhattan,Manhattan Regional,P,N,72883.00,68791.00,5.95%
257,NE,MA,ORH,Worcester,Worcester Regional,P,N,71631.00,53931.00,32.82%
258,WP,CA,ACV,Arcata,California Redwood Coast-Humboldt County,P,N,69575.00,65932.00,5.53%
259,NM,WA,YKM,Yakima,Yakima Air Terminal/McAllister Field,P,N,69510.00,71547.00,-2.85%
260,AL,AK,OTZ,Kotzebue,Ralph Wien Memorial,P,N,69070.00,67951.00,1.65%
261,WP,AZ,FLG,Flagstaff,Flagstaff Pulliam,P,N,67793.00,70710.00,-4.13%
262,NM,WA,PUW,Pullman,Pullman/Moscow Regional,P,N,66699.00,59246.00,12.58%
263,NM,WA,EAT,East Wenatchee,Pangborn Memorial,P,N,64528.00,60335.00,6.95%
264,EA,MD,SBY,Salisbury,Salisbury-Ocean City Wicomico Regional,P,N,64393.00,57421.00,12.14%
265,AL,AK,OME,Nome,Nome,P,N,64122.00,61651.00,4.01%
266,CE,NE,GRI,Grand Island,Central Nebraska Regional,P,N,63298.00,66842.00,-5.30%
267,SW,LA,LCH,Lake Charles,Lake Charles Regional,P,N,58122.00,50899.00,14.19%
268,NM,ID,LWS,Lewiston,Lewiston-Nez Perce County,P,N,57957.00,76729.00,-24.47%
269,SW,TX,ACT,Waco,Waco Regional,P,N,57344.00,58888.00,-2.62%
270,SW,NM,ROW,Roswell,Roswell International Air Center,P,N,56632.00,55211.00,2.57%
272,SW,TX,SJT,San Angelo,San Angelo Regional/Mathis Field,P,N,55301.00,59206.00,-6.60%
273,GL,MI,SAW,Gwinn,Sawyer International,P,N,53588.00,50938.00,5.20%
274,SO,AL,DHN,Dothan,Dothan Regional,P,N,52855.00,47304.00,11.73%
275,NE,MA,MVY,Vineyard Haven,Martha's Vineyard,P,N,52605.00,49767.00,5.70%
277,SO,NC,PGV,Greenville,Pitt-Greenville,P,N,51599.00,51966.00,-0.71%
278,NM,WA,ALW,Walla Walla,Walla Walla Regional,P,N,49527.00,49702.00,-0.35%
279,SO,GA,CSG,Columbus,Columbus,P,N,49354.00,49773.00,-0.84%
280,SW,TX,TYR,Tyler,Tyler Pounds Regional,P,N,48532.00,49653.00,-2.26%
281,SW,OK,LAW,Lawton,Lawton-Fort Sill Regional,P,N,48086.00,50939.00,-5.60%
282,NM,ID,TWF,Twin Falls,Joslin Field - Magic Valley Regional,P,N,47084.00,45736.00,2.95%
283,AL,AK,HOM,Homer,Homer,P,N,46867.00,46322.00,1.18%
285,AL,AK,BRW,Barrow,Wiley Post-Will Rogers Memorial,P,N,46450.00,45958.00,1.07%
286,NM,ID,PIH,Arbon Valley,Pocatello Regional,P,N,46303.00,40188.00,15.22%
287,SO,MS,GTR,Columbus,Golden Triangle Regional,P,N,46246.00,41632.00,11.08%
288,CE,IA,SUX,Sioux City,Sioux Gateway/Brig Gen Bud Day Field,P,N,44779.00,41787.00,7.16%
289,SO,GA,VLD,Valdosta,Valdosta Regional,P,N,44609.00,43738.00,1.99%
290,SO,SC,FLO,Florence,Florence Regional,P,N,44333.00,42058.00,5.41%
291,AL,AK,AKN,King Salmon,King Salmon,P,N,44131.00,34800.00,26.81%
292,AL,AK,SCC,Deadhorse,Deadhorse,P,N,43655.00,41849.00,4.32%
293,WP,CA,RDD,Redding,Redding Municipal,P,N,42775.00,42361.00,0.98%
294,WP,HI,LNY,Lanai City,Lanai,P,N,42061.00,37993.00,10.71%
295,SO,GA,BQK,Brunswick,Brunswick Golden Isles,P,N,40443.00,36433.00,11.01%
296,CE,MO,JLN,Joplin,Joplin Regional,P,N,40013.00,35498.00,12.72%
297,SO,GA,ABY,Albany,Southwest Georgia Regional,P,N,39422.00,37920.00,3.96%
