Rank,RO,ST,Locid,City,Airport Name,S/L,Hub,CY 18 Enplanements,CY 17 Enplanements,% Change
373,SO,PR,SIG,San Juan,Fernando Luis Ribas Dominicci,P,N,14106.00,18361.00,-23.17%
374,NM,UT,CNY,Moab,Canyonlands Field,P,N,14035.00,10032.00,39.90%
375,AL,AK,WRG,Wrangell,Wrangell,P,N,14033.00,13160.00,6.63%
376,CE,NE,LBF,North Platte,North Platte Regional Airport Lee Bird Field,P,N,13798.00,3911.00,252.80%
377,SO,MS,TUP,Tupelo,Tupelo Regional,P,N,13557.00,11441.00,18.49%
378,AL,AK,AKW,Klawock,Klawock,P,N,13503.00,10923.00,23.62%
379,NM,WA,FHR,Friday Harbor,Friday Harbor,P,N,13497.00,10359.00,30.29%
380,NM,WY,SHR,Sheridan,Sheridan County,P,N,13182.00,10876.00,21.20%
381,WP,CA,CCR,Concord,Buchanan Field,P,N,13077.00,14517.00,-9.92%
382,AL,AK,LHD,Anchorage,Lake Hood,P,N,12898.00,20689.00,-37.66%
383,AL,AK,ANI,Aniak,Aniak,P,N,12853.00,12735.00,0.93%
385,NM,OR,OTH,North Bend,Southwest Oregon Regional,P,N,12369.00,12971.00,-4.64%
386,EA,VA,SHD,Weyers Cave,Shenandoah Valley Regional,P,N,12179.00,6605.00,84.39%
387,GL,SD,ATY,Watertown,Watertown Regional,P,N,12064.00,11160.00,8.10%
388,CE,KS,HYS,Hays,Hays Regional,P,N,11996.00,9460.00,26.81%
390,NM,WY,RIW,Riverton,Riverton Regional,P,N,11811.00,8277.00,42.70%
391,AL,AK,YAK,Yakutat,Yakutat,P,N,11800.00,10886.00,8.40%
392,GL,ND,JMS,Jamestown,Jamestown Regional,P,N,11768.00,10917.00,7.80%
393,GL,IL,UIN,Quincy,Quincy Regional-Baldwin Field,P,N,11633.00,7709.00,50.90%
394,WP,MP,GRO,Northern Islands (Municipality),Benjamin Taisacan Manglona International,P,N,11625.00,21214.00,-45.20%
395,GL,MI,APN,Alpena,Alpena County Regional,P,N,11614.00,11317.00,2.62%
398,AL,AK,KSM,St. Mary's (ANV/ANVSA),St Mary's,P,N,11442.00,11528.00,-0.75%
399,GL,IL,MWA,Marion,Veterans Airport of Southern Illinois,P,N,11078.00,11029.00,0.44%
400,AL,AK,GST,Gustavus,Gustavus,P,N,11023.00,9061.00,21.65%
401,NE,ME,PQI,Presque Isle,Presque Isle International,P,N,10865.00,12735.00,-14.68%
403,NM,UT,VEL,Vernal,Vernal Regional,P,N,10658.00,6615.00,61.12%
404,AL,AK,MRI,Anchorage,Merrill Field,P,N,10478.00,18298.00,-42.74%
405,NM,CO,PUB,Pueblo,Pueblo Memorial,P,N,10459.00,3833.00,172.87%
406,NE,NH,LEB,Lebanon,Lebanon Municipal,P,N,10360.00,10383.00,-0.22%
407,EA,WV,LWB,Lewisburg,Greenbrier Valley,P,N,10359.00,5495.00,88.52%
408,WP,AZ,PRC,Prescott,Prescott Regional - Ernest A Love Field,P,N,10337.00,5888.00,75.56%
409,NE,MA,PVC,Provincetown,Provincetown Municipal,P,N,10316.00,8900.00,15.91%
410,SO,FL,VRB,Vero Beach,Vero Beach Regional,P,N,10314.00,9110.00,13.22%
411,NE,MA,BED,Bedford,Laurence G Hanscom Field,P,N,10194.00,10956.00,-6.96%
412,NM,WA,ORS,Eastsound,Orcas Island,P,N,10101.00,7223.00,39.84%
413,NM,MT,SDY,Sidney,Sidney-Richland Regional,P,N,10055.00,8429.00,19.29%
414,AL,AK,VDZ,Valdez,Valdez Pioneer Field,P,N,10050.00,11321.00,-11.23%
425,NM,MT,WYS,West Yellowstone,Yellowstone,P,N,8200.00,8786.00,-6.67%
,,,266,,Nonhub Primary ,,,,,
415,SO,MS,PIB,Moselle,Hattiesburg-Laurel Regional,CS,None,9813.00,11726.00,-16.31%
416,GL,IL,DEC,Decatur,Decatur,CS,None,9519.00,8324.00,14.36%
417,AL,AK,GAL,Galena,Edward G Pitka Sr,CS,None,9440.00,9664.00,-2.32%
418,CE,MO,CGI,Scott City,Cape Girardeau Regional,CS,None,9160.00,6321.00,44.91%
